CODIGO,POB
BO,11312620
01,600132
010101,296125
010102,9241
010103,13640
010201,7861
010202,16470
010301,12687
010302,12023
010303,8971
010304,8854
010401,7542
010402,8341
010403,6886
010404,3752
010405,5636
010501,24487
010502,7201
010601,13251
010602,8537
010701,14712
010702,26486
010703,16311
010704,13924
010801,8961
010901,5371
010902,14868
010903,5007
011001,13196
011002,2546
011003,7245
02,3022566
020101,755732
020102,21641
020103,20455
020104,46068
020105,885035
020201,47064
020202,16900
020203,8657
020204,9258
020205,5096
020206,7183
020301,13395
020302,15464
020303,12057
020304,5201
020305,4124
020306,6557
020307,3990
020308,7965
020401,13940
020402,17653
020403,17248
020404,5615
020405,8810
020501,17671
020502,8957
020503,6720
020601,30020
020602,16373
020603,9705
020604,4221
020605,3502
020606,7640
020607,21805
020608,13469
020701,19047
020702,8993
020801,113453
020802,8599
020803,13568
020804,7867
020805,7832
020806,16957
020807,7511
020901,10581
020902,16420
020903,12303
020904,4866
020905,13657
021001,18764
021002,11184
021003,15485
021004,23456
021005,9536
021006,7791
021101,18278
021102,23076
021103,7583
021104,26995
021105,45586
021201,49701
021202,38612
021203,20503
021204,7874
021301,33546
021302,9021
021303,11251
021304,15279
021305,25049
021306,12344
021307,5525
021401,27531
021402,23910
021501,12487
021502,10115
021601,15854
021602,6423
021701,17431
021702,9097
021703,7512
021801,9044
021802,6222
021803,2031
021901,6766
021902,5326
022001,59034
022002,10499
03,2005373
030101,661484
030201,23000
030202,6468
030203,6678
030301,21717
030302,14598
030303,19467
030401,11235
030402,7322
030403,30454
030404,4953
030501,11411
030502,8425
030601,10635
030602,10549
030701,19291
030702,7868
030703,3949
030801,20877
030802,7208
030803,7372
030901,165830
030902,55601
030903,61600
030904,55773
030905,66235
031001,218502
031002,19318
031003,95588
031101,24534
031201,14766
031202,11840
031203,12216
031204,27374
031205,64345
031206,45520
031301,19846
031302,5220
031303,3461
031304,8007
031401,34813
031402,8551
031403,12924
031404,1276
031405,3818
031501,8197
031601,18190
031602,27067
04,570194
040101,297497
040102,23068
040103,10393
040104,15675
040201,35339
040202,5105
040301,16020
040302,2980
040401,6671
040402,5277
040501,3974
040502,4194
040503,1511
040504,882
040505,3883
040601,9152
040602,4220
040603,3614
040701,20028
040702,6096
040801,15906
040802,3180
040901,15387
040902,1405
040903,2366
041001,12115
041101,5443
041201,6300
041202,2996
041301,6570
041401,13439
041501,1266
041502,1132
041503,1130
041601,5980
05,856419
050101,218336
050102,28829
050103,11119
050104,3162
050201,22673
050202,16008
050203,41571
050204,8170
050301,31772
050302,9262
050303,14208
050401,16163
050402,16728
050403,32307
050404,14367
050405,20933
050501,27961
050502,10719
050601,29070
050602,10102
050701,17188
050702,8427
050801,45531
050802,9364
050901,12638
050902,1603
051001,3136
051002,1022
051003,1941
051101,16350
051102,12891
051103,14301
051201,35118
051202,7811
051203,14626
051204,5813
051301,3623
051302,4434
051401,4150
051402,1561
051501,49312
051601,2119
06,534348
060101,238942
060201,17783
060202,36967
060301,97577
060302,15650
060303,46010
060401,15954
060402,4763
060501,30352
060502,9504
060601,20846
07,3115386
070101,1606671
070102,106292
070103,23016
070104,147622
070105,55558
070201,150803
070202,10508
070301,67610
070302,15177
070303,8786
070401,13586
070402,18998
070403,57683
070404,10206
070501,40961
070502,54357
070503,18701
070601,20709
070602,17984
070603,6020
070701,5910
070702,39262
070703,31160
070704,4953
070705,15169
070706,32656
070707,5603
070801,17172
070802,2367
070803,2811
070804,1796
070805,2009
070901,11814
070902,9650
070903,12732
070904,3095
071001,127544
071002,16043
071003,22731
071004,14625
071005,15158
071101,30109
071102,14897
071103,44635
071104,6346
071105,8427
071106,25260
071201,15336
071301,17132
071302,6057
071401,17378
071402,17826
071403,8731
071501,34002
071502,6528
071503,17214
08,477441
080101,124357
080102,7654
080201,107141
080202,40759
080301,11274
080302,45562
080303,10910
080304,21018
080401,18102
080402,7890
080501,21578
080601,4263
080602,15635
080701,6851
080702,5441
080703,1095
080801,12769
080802,6564
080803,4628
080901,3950
09,130761
090101,54386
090102,8970
090103,2390
090104,3632
090201,7217
090202,3239
090203,7941
090301,12006
090302,9203
090303,10264
090401,2855
090402,2584
090501,1390
090502,2500
090503,2184
